lncRNAId	lncRNAName	pvalue	mm_pvalue	mp_pvalue	pm_pvalue	pp_pvalue
ENSG00000214548_ASO_G0214548_01	MEG3	0.08456789400793172	1.0	1.0	0.020384753990678423	1.0
ENSG00000233117_ASO_G0233117_02	LINC00702	0.1380224886855645	0.0005414172397439445	1.0	1.0	1.0
ENSG00000234608_ASO_G0234608_06	MAPKAPK5-AS1	1.3053904278527724e-17	4.5014409367893076e-15	1.0	7.733846376507568e-11	1.0
ENSG00000227053_ASO_G0227053_03	RP11-395B7.4	4.2391429868253e-45	6.4211639541418e-51	1.0	1.295447862770525e-27	1.0
ENSG00000231185_ASO_G0231185_03	AC005592.2	0.00048802271288733994	4.3863513291834224e-05	1.0	1.0	1.0
ENSG00000230630_ASO_G0230630_AD_04	DNM3OS	0.15872103622818684	1.0	1.0	0.020384753990678423	1.0
ENSG00000214548_ASO_G0214548_AD_09	MEG3	0.0005661708334514672	1.0	0.00021347113519365455	1.0	0.11744962229968056
ENSG00000225470_ASO_G0225470_05	JPX	0.061888761010732964	1.0	1.0	0.04310409642211536	1.0
ENSG00000231185_ASO_G0231185_02	AC005592.2	0.2548724933707684	0.017432787404531646	1.0	1.0	1.0
ENSG00000225470_ASO_G0225470_AD_04	JPX	0.003195267011587601	1.0	1.0	0.0023292780498372534	1.0
ENSG00000227053_ASO_G0227053_04	RP11-395B7.4	4.048272199209159e-11	2.155820784304454e-20	0.10158662680084855	2.072290214595654e-07	1.0
