lncRNAId	lncRNAName	pvalue	mm_pvalue	mp_pvalue	pm_pvalue	pp_pvalue
ENSG00000256268_ASO_G0256268_AD_03	RP11-221N13.3	0.027484260630209142	1.0	1.0	0.013017350671873465	1.0
ENSG00000257219_ASO_G0257219_AD_05	RP11-54A9.1	0.13827376633120764	1.0	1.0	0.011221106197672436	1.0
ENSG00000214548_ASO_G0214548_01	MEG3	0.5815371003101224	1.0	0.9064431300136404	0.0002681990217412237	1.0
ENSG00000229647_ASO_G0229647_06	AC007879.7	0.01551860434562236	0.5672585661283684	1.0	0.006557070330159662	1.0
ENSG00000246430_ASO_G0246430_03	LINC00968	0.13827376633120764	1.0	1.0	0.02233557713360242	1.0
ENSG00000227053_ASO_G0227053_03	RP11-395B7.4	2.3007950098536036e-09	1.4539253966942928e-09	0.5977111164242076	4.8667108350085665e-05	0.3721655514362238
ENSG00000212978_ASO_G0212978_02	AC016747.3	0.02528659757016544	1.0	1.0	0.0006675520365931661	1.0
ENSG00000214548_ASO_G0214548_AD_09	MEG3	0.02528659757016544	0.026368706450660754	0.3431143994077712	0.8925424164938247	0.00012241635774384654
ENSG00000215039_ASO_G0215039_01	CD27-AS1	4.728011401906596e-05	4.161625040797174e-09	0.10011560759137887	0.0049299777577792876	1.0
ENSG00000257219_ASO_G0257219_09	RP11-54A9.1	0.05693219336987998	1.0	1.0	0.026610918159607838	1.0
ENSG00000227053_ASO_G0227053_04	RP11-395B7.4	0.002415693303271093	0.2063636995448373	0.3793168983045696	2.520459967285733e-09	1.0
