lncRNAId	lncRNAName	pvalue	mm_pvalue	mp_pvalue	pm_pvalue	pp_pvalue
ENSG00000225733_ASO_G0225733_AD_03	FGD5-AS1	0.00019362852771804726	4.718888222255103e-05	1.0	0.0014202401906280846	0.14124147137969897
ENSG00000233117_ASO_G0233117_02	LINC00702	0.0005959870694786338	3.9266030728545717e-07	1.0	1.4199317555362157e-05	0.09104618327380033
ENSG00000245937_ASO_G0245937_AD_02	CTC-228N24.3	0.031054488607066232	1.0	1.0	0.020242095461886555	1.0
ENSG00000240875_ASO_G0240875_02	LINC00886	0.0012594894682892938	0.0017976461407837076	0.8395551070175771	0.054087809105175896	1.0
ENSG00000225733_ASO_G0225733_AD_06	FGD5-AS1	0.0013554165834291233	0.8016514155479965	1.0	0.0014202401906280846	0.7436567052179937
ENSG00000230630_ASO_G0230630_AD_04	DNM3OS	0.41637248496873785	1.0	1.0	0.015628951112904594	1.0
ENSG00000257219_ASO_G0257219_09	RP11-54A9.1	0.019871865411868802	0.3979768109747385	1.0	0.014391524788041454	1.0
ENSG00000204054_ASO_G0204054_06	LINC00963	0.0012594894682892938	1.403179761138335e-06	1.0	0.2586501221222134	1.0
ENSG00000225733_ASO_G0225733_04	FGD5-AS1	0.2554339275230318	1.0	1.0	0.020242095461886555	1.0
ENSG00000237187_ASO_G0237187_AD_01	NR2F1-AS1	0.025887247104072322	1.0	1.0	0.015628951112904594	1.0
ENSG00000240875_ASO_G0240875_03	LINC00886	1.4338902610517508e-06	0.07675481468290052	1.0	0.08455774966367685	1.6010516163398055e-05
ENSG00000212978_ASO_G0212978_03	AC016747.3	0.0013364014813052815	0.009153515151227296	0.8395551070175771	0.5049486458692166	0.7754219978588263
ENSG00000246273_ASO_G0246273_02	SBF2-AS1	0.0013364014813052815	0.0007901316413881201	1.0	0.12504999866161676	0.7751878338865358
ENSG00000221817_ASO_G0221817_04	RP11-137L10.6	0.2051308297372766	1.0	1.0	0.004179632967569922	1.0
