lncRNAId	lncRNAName	pvalue	mm_pvalue	mp_pvalue	pm_pvalue	pp_pvalue
ENSG00000245937_ASO_G0245937_01	CTC-228N24.3	0.010132807477995385	0.01593035724668556	1.0	0.2625267743336391	1.0
ENSG00000260032_ASO_G0260032_AD_01	LINC00657	0.03684860043634177	0.0071450389708972795	1.0	0.34788754682658524	1.0
ENSG00000234546_ASO_G0234546_07	RP3-510D11.2	0.22317154305247536	0.907965935977161	0.0032811173803192124	1.0	1.0
ENSG00000256268_ASO_G0256268_AD_03	RP11-221N13.3	0.07046690292159338	1.0	1.0	0.0430085455790622	1.0
ENSG00000212978_ASO_G0212978_01	AC016747.3	0.005637985908232916	6.5154136439053545e-06	1.0	0.21009634265631524	1.0
ENSG00000256268_ASO_G0256268_AD_07	RP11-221N13.3	0.00014021966999509705	0.12972021566133457	1.0	0.02972633741524091	0.02923489279044808
ENSG00000246067_ASO_G0246067_AD_09	RAB30-AS1	0.14373120197534978	0.041643461798081816	1.0	1.0	0.7230775848724729
ENSG00000225733_ASO_G0225733_AD_03	FGD5-AS1	9.88735862768013e-19	1.7637641575831823e-14	0.6269397308631361	2.3136084620803193e-15	0.7230775848724729
ENSG00000233117_ASO_G0233117_02	LINC00702	6.097619652575383e-13	1.6280671632435152e-19	1.0	9.59997816873992e-52	2.6913408506992896e-09
ENSG00000256268_ASO_G0256268_AD_06	RP11-221N13.3	0.022206582445919023	0.33337613278961004	1.0	0.012723214900565286	0.7230775848724729
ENSG00000223478_ASO_G0223478_03	RP11-545E17.3	0.020496038258066954	7.468287425115583e-06	0.2416707405315075	0.1534391218434446	0.8256695380460449
ENSG00000203721_ASO_G0203721_02	LINC00862	0.03684860043634177	1.0	1.0	0.018151547101948533	1.0
ENSG00000212978_ASO_G0212978_02	AC016747.3	0.07046690292159338	0.44151222932798695	1.0	0.0430085455790622	0.7230775848724729
ENSG00000253161_ASO_C013368_02	RP11-150O12.1	3.2860522801172183e-18	7.173159919647171e-09	1.0	1.9529754571294034e-10	0.00034043251178799403
ENSG00000234456_ASO_G0234456_04	MAGI2-AS3	0.020496038258066954	1.0	1.0	0.007238028628910957	1.0
ENSG00000240875_ASO_G0240875_02	LINC00886	0.0001235360059412847	8.225139738247242e-05	1.0	1.626865498467943e-07	1.0
ENSG00000225733_ASO_G0225733_AD_06	FGD5-AS1	2.078853195744401e-05	0.044026485052385676	1.0	7.507945684405914e-08	1.0
ENSG00000230630_ASO_G0230630_AD_04	DNM3OS	1.977230478986951e-18	0.03670534763749168	1.0	4.353562358172292e-44	0.7230775848724729
ENSG00000227036_ASO_G0227036_04	LINC00511	4.040023117896598e-05	3.5966413302260947e-12	1.0	0.0320497734915387	0.005583773071867073
ENSG00000237187_ASO_G0237187_AD_08	NR2F1-AS1	0.00020878587535025676	1.0	0.006675427457256355	1.0	0.22476753505085884
ENSG00000225439_ASO_G0225439_06	BOLA3-AS1	0.6384983255166446	0.039507248823381746	1.0	1.0	0.6990870104599489
ENSG00000246067_ASO_G0246067_AD_06	RAB30-AS1	7.479665297025683e-51	9.746031376085848e-55	7.530483986610528e-17	6.821304120426016e-11	3.0424360802787284e-18
ENSG00000251580_ASO_G0251580_AD_05	RP11-539L10.3	0.001120395613673782	0.00021674640960526648	1.0	1.0	1.0
ENSG00000204054_ASO_G0204054_06	LINC00963	1.1166738757187297e-06	1.7803843098389377e-07	1.0	0.0003526855344983468	0.9152394569306382
ENSG00000231312_ASO_G0231312_02	AC007246.3	0.01590118774413678	0.00034188121046334677	1.0	1.0	1.0
ENSG00000240875_ASO_G0240875_03	LINC00886	6.360176945250828e-12	8.076022750791282e-06	1.0	0.009977080588556538	1.0896315202410257e-06
ENSG00000254682_ASO_G0254682_02	RP11-660L16.2	3.143202626995119e-05	6.475066331857279e-13	0.5429646083959202	0.17537957857412806	0.7230775848724729
ENSG00000212978_ASO_G0212978_03	AC016747.3	1.7391651431287512e-10	1.5782900856736104e-10	0.9086402690361207	0.0013474511886994143	0.9152394569306382
ENSG00000246273_ASO_G0246273_02	SBF2-AS1	7.021009020589307e-19	1.801456043109285e-27	1.0	0.009977080588556538	1.0
