chr.names	query.population	reference.population	relative.distances.ks.p.value	relative.distances.ecdf.deviation.area	relative.distances.ecdf.area.correlation	relative.distances.ecdf.deviation.area.p.value	scaled.absolute.min.distance.sum.p.value	scaled.absolute.min.distance.sum.lower.tail	jaccard.measure.p.value	jaccard.measure.lower.tail	projection.test.p.value	projection.test.lower.tail	projection.test.obs.to.exp	lnc
awhole	268	10877	0.0700063709475198	0.0100068726208021	-0.0367614307990838	0.375	0.0	True	0.073	False	0.0009612666333915779	False	0.0	ENSG00000230630_ASO_G0230630_AD_04
awhole	2	269	0.937381508593626	0.0683895135725007	-0.0190305973228222	0.9259999999999999	0.071	True	0.0	False	1.7884967641323997e-06	False	0.0	ENSG00000229847_ASO_G0229847_AD_02
awhole	36	8289	0.541400546924145	0.0231236859043305	-0.00660320226870681	0.502	0.006	True	0.02	False	0.000158150433222759	False	0.0	ENSG00000180769_ASO_G0180769_08
awhole	68	2888	0.0833466465173878	0.0297154845518022	0.11779936161146101	0.111	0.0	True	0.003	False	6.90697106837668e-05	False	0.0	ENSG00000233901_ASO_G0233901_05
awhole	2	269	0.937381508593626	0.0683895135725007	-0.0190305973228222	0.9259999999999999	0.071	True	0.0	False	1.7884967641323997e-06	False	0.0	ENSG00000229847_ASO_G0229847_AD_04
awhole	27	187717	0.890632046024287	0.0200610100130037	-0.0727425701778459	0.774	0.289	True	0.151	False	0.00203521667836037	False	0.0	ENSG00000203706_ASO_G0203706_01
awhole	328	510	0.215275160902648	0.0109477340087971	0.0381877092815599	0.20800000000000002	0.371	True	0.004	False	5.51874157935783e-05	False	0.0	ENSG00000246067_ASO_G0246067_AD_06
awhole	32	3353	0.883409952857678	0.0138091899946962	0.0190339808855473	0.951	0.09699999999999999	True	0.003	False	4.00390424868391e-05	False	0.0	ENSG00000230844_ASO_G0230844_01
awhole	5760	1166	5.07459154253098e-07	0.0105496259143314	0.0418151662728796	0.0	0.0	True	0.175	False	0.00221333952198399	False	0.0	ENSG00000214548_ASO_G0214548_AD_09
awhole	40	29225	0.27782136870629803	0.0386352138664642	-0.143545686386329	0.099	0.375	True	0.034	False	0.000502935464262833	False	0.0	ENSG00000246089_ASO_G0246089_02
awhole	68	2888	0.0833466465173878	0.0297154845518022	0.11779936161146101	0.11699999999999999	0.0	True	0.004	False	6.90697106837668e-05	False	0.0	ENSG00000233901_ASO_G0233901_04
awhole	14	63	0.753042844789305	0.025937173445839998	0.0222898847693638	0.8270000000000001	0.0679999999999999	False	0.0	False	7.72005555926825e-07	False	0.0	ENSG00000231187_ASO_G0231187_02
awhole	40	20231	0.379010484350563	0.0185337825432284	0.0151725607924633	0.6829999999999999	0.17	True	0.021	False	0.00031632696398398196	False	0.0	ENSG00000271270_ASO_G0271270_09
awhole	328	510	0.215275160902648	0.0109477340087971	0.0381877092815599	0.213	0.373	True	0.005	False	5.51874157935783e-05	False	0.0	ENSG00000246067_ASO_G0246067_AD_09
