chr.names	query.population	reference.population	relative.distances.ks.p.value	relative.distances.ecdf.deviation.area	relative.distances.ecdf.area.correlation	relative.distances.ecdf.deviation.area.p.value	scaled.absolute.min.distance.sum.p.value	scaled.absolute.min.distance.sum.lower.tail	jaccard.measure.p.value	jaccard.measure.lower.tail	projection.test.p.value	projection.test.lower.tail	projection.test.obs.to.exp	lnc
awhole	2540	16030	0.0783916767505919	0.00736498424563223	0.0287727977773593	0.019	0.0	True	0.0	False	3.27370353048195e-11	False	2.00002993768922	ENSG00000260032_ASO_G0260032_AD_06
awhole	268	45587	0.955782859520108	0.0051025468847952895	0.0175694954160277	0.91	0.0	True	0.03	False	0.005497032947472611	False	1.89212824153114	ENSG00000230630_ASO_G0230630_AD_04
awhole	251	1747	0.0224698195781189	0.0242169436909941	0.097178997128136	0.008000000000000009	0.0	True	0.466	False	0.44102551692596204	False	0.0	ENSG00000229852_ASO_G0229852_05
awhole	46	22	0.21676168353363298	0.0286009703140179	-0.0971859535742396	0.255	0.21600000000000003	False	0.002	False	0.0021886330322042897	False	0.0	ENSG00000233901_ASO_G0233901_05
awhole	22	19	0.6186814964427509	0.027057489275069	-0.0361415196834143	0.596	0.4	False	0.001	False	0.000833350469875871	False	0.0	ENSG00000234608_ASO_G0234608_06
awhole	10	348	0.345001769683219	0.0698876680931411	-0.27800500430804803	0.13	0.271	False	0.011	False	0.006346367716209221	False	0.0	ENSG00000227053_ASO_G0227053_03
awhole	5760	59866	0.304198249477458	0.0021346130742709102	0.00506285115411953	0.39399999999999996	0.0	True	0.002	False	5.698774785400931e-13	False	1.58909755635849	ENSG00000214548_ASO_G0214548_AD_09
awhole	251	1747	0.0224698195781189	0.0242169436909941	0.097178997128136	0.0060000000000000105	0.0	True	0.443	False	0.44102551692596204	False	0.0	ENSG00000229852_ASO_G0229852_03
awhole	689	17271	0.633679556372686	0.00543685022335837	0.0133743498787051	0.493	0.0	True	0.003	False	6.71200604314137e-05	False	2.1344126146851	ENSG00000234456_ASO_G0234456_04
awhole	2208	9414	0.0243473465909986	0.00890329465429998	0.0361044079762141	0.01	0.0	True	0.0	False	2.9810425372645e-07	False	2.40359566843731	ENSG00000246430_ASO_G0246430_03
awhole	40	224	0.10635666773017499	0.0384889167983801	0.14507927920969102	0.109	0.022000000000000002	True	0.015	False	0.009824746074176159	False	0.0	ENSG00000271270_ASO_G0271270_09
awhole	5760	59866	0.304198249477458	0.0021346130742709102	0.00506285115411953	0.365	0.0	True	0.002	False	5.698774785400931e-13	False	1.58909755635849	ENSG00000214548_ASO_G0214548_01
awhole	10	348	0.345001769683219	0.0698876680931411	-0.27800500430804803	0.142	0.259	False	0.003	False	0.006346367716209221	False	0.0	ENSG00000227053_ASO_G0227053_04
